| shape | baseline exit | planned exit | planned == baseline | effect (baseline) | source values swapped (i↔j) vs baseline | T1 | NI1: `@env:` + endings == oracle | interim (NI3) == oracle | NI8 corpus in the variable: OTHER's wallet; == oracle; refused Linux/interim | Nm13 leading dash == oracle (Linux, interim) |
| convert bip38+bip38-passphrase | 0 | 0 | **yes** | `wif: KyZpNDKnfs94vbrwhJneDi77V6jF64PWPF8x5cdJb8ifgg2DUc9d` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| xpub-search path-of-xpub phrase+passphrase | 0 | 0 | **yes** | `match: m/84'/0'/0'  (template=bip84, account=0)` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| xpub-search path-of-xpub ms1+passphrase | 0 | 0 | **yes** | `match: m/84'/0'/0'  (template=bip84, account=0)` | 0↔1: differs (exit 2) | ok | 9/9 (+33 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| xpub-search passphrase-of-xpub phrase+passphrase | 0 | 0 | **yes** | `match: m/84'/0'/0'  (template=bip84, account=0)` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| xpub-search passphrase-of-xpub ms1+passphrase | 0 | 0 | **yes** | `match: m/84'/0'/0'  (template=bip84, account=0)` | 0↔1: differs (exit 2) | ok | 9/9 (+33 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| xpub-search account-of-descriptor phrase+passphrase | 0 | 0 | **yes** | `match: cosigner @0  m/84'/0'/0'  (template=bip84, account=0)` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| xpub-search account-of-descriptor ms1+passphrase | 0 | 0 | **yes** | `match: cosigner @0  m/84'/0'/0'  (template=bip84, account=0)` | 0↔1: differs (exit 2) | ok | 9/9 (+33 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| silent-payment secret+passphrase | 0 | 0 | **yes** | `address:      sp1qq2d73kpx36h7r08gmawe6slzxkntu2tw0as7pkqe0hvv3k38mkvckqsp6dmrwxvd6mumfqj9` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| slip39 split phrase+passphrase | 0 | 0 | **yes** | `00000000000000000000000000000000` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| slip39 combine 2 shares+passphrase | 0 | 0 | **yes** | `8ab7aa39cd427130e225ed43c34f5b5a` | 0↔1: **same** (symmetric); 0↔2: differs (exit 1); 1↔2: differs (exit 1) | ok | 24/24 (+39 refused) | 24/24 (+39 refused) | 0 OTHER; 0/0 eq; 63/63 refused | 9/9, 9/9 |
| slip39 combine 2 shares | 0 | 0 | **yes** | `00000000000000000000000000000000` | 0↔1: **same** (symmetric) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| seed-xor combine 2 shares | 0 | 0 | **yes** | `zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrong` | 0↔1: **same** (symmetric) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | n/a |
| ms-shares combine 2 shares | 0 | 0 | **yes** | `abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon ab` | 0↔1: **same** (symmetric) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| import-wallet 2 cosigner ms1 | 0 | 0 | **yes** | `"descriptor": "wsh(sortedmulti(2,[5436d724/48'/0'/0'/2']xpub6E79FaRWLSJCAgA2jDHRvyrWKwT6aS` | 0↔1: differs (exit 4) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 6/6, 6/6 |
| verify-bundle ms1+slot+passphrase | 0 | 0 | **yes** | `result: ok` | 0↔1: differs (exit 2); 0↔2: differs (exit 2); 1↔2: differs (exit 1) | ok | 24/24 (+39 refused) | 24/24 (+39 refused) | 0 OTHER; 0/0 eq; 63/63 refused | 6/6, 6/6 |
| ms combine share group | 0 | 0 | **yes** | `entropy: 00000000000000000000000000000000` | n/a (one source) | ok | 0/0 (+0 refused) | 0/0 (+0 refused) | 0 OTHER; 0/0 eq; 0/0 refused | n/a |
| ms verify phrase+ms1 | 0 | 0 | **yes** | `OK: round-trip valid (12 words, language=english)` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 0/0, 0/0 |
| ms derive ms1+passphrase | 0 | 0 | **yes** | `master_fingerprint:  45fbfbe6` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 0/0 (+3 refused) |
| ms derive phrase+passphrase | — | — | refused (expected: refuse) | — | — | — | — | — | — | — |
| ms derive hex+passphrase | — | — | refused (expected: refuse) | — | — | — | — | — | — | — |
NI1/interim endings refused, by code: {'value-ends-in-newline': 1430, 'value-not-byte-exact': 21}
FAILURES: none
